model,dialect,filename,transcript_preview,wer,cer,mer,wil,wip,bleu
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip001.wav,"Sorry, but I don't see any audio attached to your message. Please provide me with the audio file or ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip002.wav,"Sorry, but I am unable to transcribe audio as it is not provided in the input field. Please provide ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip003.wav,"The transcription of the audio is: 

""মানুষ একটি বিশ্ববাসী।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip004.wav,"The transcription of the audio is: 

""孟加拉语: মানুষ, বাংলা-বাংলা ভার।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip005.wav,"Sorry, but I am unable to transcribe the audio as it is not provided. Please provide the audio for m",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip006.wav,"The transcription of the audio is: 

""孟加拉语版本的维基百科被翻译成孟加拉语。""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip007.wav,"The transcription of the audio is: 

"" এটা ভার কলম কলম, সকল বার।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip008.wav,"The transcription of the audio is: 

""孟加拉语: মানুষ, বাংলা, ভার।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip009.wav,"Sorry, but I don't see any audio file attached to your message. Please provide me with the link or t",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip010.wav,"The transcription of the audio is: 

""মানুষ কল্যাণ।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip011.wav,"The transcription of the audio is: 

""孟加拉语: মানে, তা ভার।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip012.wav,"Sorry, but I am unable to transcribe the audio as it is not provided. Please provide the audio for m",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip013.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or type ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip014.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or type ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip015.wav,"Sorry, but I don't see any audio file attached to your message. Please provide me with the link or t",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip016.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or type ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip017.wav,"The transcription of the audio is: 

"" এটা কাজ হল? |""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip018.wav,"The transcription of the audio is: 

"" এটা কাজ হল? """,,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip019.wav,"The transcription of the audio is: 

"" এটা ভার সমান।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip020.wav,"The transcription of the audio is: 

""孟加拉语: মানুষ, বাংলা-ভার্ম।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip021.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or descr",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip022.wav,"The transcription of the audio is: 

"" এটা ভার কলম হল, তাদের মান填া।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip023.wav,"The transcription of the audio is: 

"" এটা ভার সম্পর্কে না।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip024.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or descr",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip025.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or descr",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip026.wav,"Sorry, but I don't see any audio file attached to your message. Please provide me with the link or t",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip027.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or type ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip028.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or type ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip029.wav,"Sorry, but I am unable to transcribe audio as it is not provided in the input field. Please provide ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip030.wav,"The transcription of the audio is: 

""মান ভার কল填া।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip031.wav,"The transcription of the audio is: 

"" এটা কি? এটা ভার্ম।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip032.wav,"Sorry, but I don't see any audio attached to your message. Please provide me with the audio file or ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip033.wav,"The transcription of the audio is: 

""孟加拉语版本的维基百科正在被开发。""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip034.wav,"Sorry, but I am unable to transcribe audio as it is not provided in the input field. Please provide ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip035.wav,"Sorry, but I am unable to transcribe the audio as it is not provided. Please provide the audio for m",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip036.wav,"Sorry, but I don't see any audio attached to your message. Please provide me with the audio file or ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip037.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or type ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip038.wav,"The transcription of the audio is: 

""孟加拉语版本的维基百科""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip039.wav,"The transcription of the audio is: 

""মান কলমুক।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip040.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or descr",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip041.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or type ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip042.wav,"Sorry, but I am unable to transcribe the audio as it is not provided. Please provide the audio for m",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip043.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or descr",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip044.wav,"Sorry, but I am unable to transcribe audio as it is not provided in the input field. Please provide ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip045.wav,"Sorry, but I am unable to transcribe audio as it is not provided in the input field. Please provide ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip046.wav,"The transcription of the audio is: 

""孟加拉语版本的维基百科被翻译成孟加拉语。""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip047.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or type ",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip048.wav,"Sorry, but I am unable to transcribe the audio as it is not provided. Please provide the audio for m",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip049.wav,"The transcription of the audio is: 

"" এটা কি? এটা ভার বার।""",,,,,,
qwen2_audio_direct,puran_dhaka,pd_001_male_40s_clip050.wav,"Sorry, but I don't see any audio attached to your message. Please provide me with the audio file or ",,,,,,
qwen2_audio_direct,barishal,br_001_male_25s_clip001.wav,"Sorry, but I don't see any audio file attached to your message. Please provide me with the link or t",,,,,,
qwen2_audio_direct,barishal,br_001_male_25s_clip002.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or descr",,,,,,
qwen2_audio_direct,barishal,br_001_male_25s_clip003.wav,"The transcription of the audio is: 

""孟加拉语: মানুষ, ভার, কলম, দাতা, বাংলা, জাতি, প্রাণ, সকল, ভার, এটা",1.3076923076923077,1.1095890410958904,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip004.wav,"Sorry, but I don't see any audio file attached to your message. Please provide me with the link or t",0.9705882352941176,0.8448275862068966,0.9705882352941176,0.9989858012170385,0.0010141987829614604,0.006477476627746209
qwen2_audio_direct,barishal,br_001_male_25s_clip005.wav,"The transcription of the audio is: 

""孟加拉语的发音在某些方面与英语相似，但也有很大的不同。""",1.0,0.926829268292683,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip006.wav,"The transcription of the audio is: 

""孟加拉语: মানুষ, বাংলা, ভার্জিয়া, সাইট, একটি কম্পানी।""",1.0,0.8894009216589862,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip007.wav,"Sorry, but I am unable to transcribe audio as it is not provided in the input field. Please provide ",1.0,0.9083969465648855,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip008.wav,"The transcription of the audio is: 

""মানুষ কল্যাণ।""",1.0,0.9397590361445783,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip009.wav,"Sorry, but I need to hear the audio to transcribe it into Bengali. Please provide the audio or descr",1.0,0.8715083798882681,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip010.wav,"The transcription of the audio is: 

""মানুষ একটি বিশ্বাস।""",1.0,0.8957345971563981,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip011.wav,"Sorry, but I am unable to transcribe the audio as it is not provided. Please provide the audio for m",1.0,0.85,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip012.wav,"The transcription of the audio is: 

"" এটা কাজ হল? |""",1.0,0.917098445595855,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip013.wav,"The transcription of the audio is: 

""মান কলমুক।""",1.0,0.918918918918919,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip014.wav,"The transcription of the audio is: 

"" এটা ভার কলম বা এটা ভার মান।""",1.0,0.8778280542986425,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip015.wav,"The transcription of the audio is: 

"" এটা ভার সমান।""",1.0,0.9274193548387096,1.0,1.0,0.0,0.0008603001998692931
qwen2_audio_direct,barishal,br_001_male_25s_clip016.wav,"The transcription of the audio is: 

"" এটা ভার কলম।""",1.0,0.9220183486238532,1.0,1.0,0.0,0.0
qwen2_audio_direct,barishal,br_001_male_25s_clip017.wav,"The transcription of the audio is: 

"" এটা কি? এটা ভার্ম।""",1.0,0.8881987577639752,1.0,1.0,0.0,0.0
