model,wer,cer,bleu,source
bengaliai_regional,0.469389528253306,0.242852495651005,0.27295290828122315,Baseline (03)
bengaliai_whisper,0.5054782885330567,0.30751966215076104,0.25273208651925144,Baseline (03)
mms,0.5567685430773325,0.2687362827296726,0.20025360447486418,Baseline (03)
seamlessm4t,0.7679434111665718,0.5210109758559808,0.1232846663111403,Baseline (03)
vakyansh_bn,0.6142146834006488,0.29495571757269423,0.18097849605430047,Baseline (03)
wav2vec2_xlsr53_bn,1.002272072850304,0.8245326543584907,0.00018341670390649388,Baseline (03)
wav2vec2_xlsr_300m_bn,0.702253315417002,0.3893624505861513,0.11907436720588736,Baseline (03)
wav2vec2_xlsr_cv_bn,0.6808028176049236,0.4365003651099041,0.1668099872798785,Baseline (03)
whisper_large_v3,0.9096777631369094,0.582684942604673,0.06455009486523187,Baseline (03)
whisper_medium,1.168008565613532,1.2299051487367052,0.00023660181863210337,Baseline (03)
whisper_small,1.957966185671919,1.7059574926932028,0.0,Baseline (03)
whisper_v3_turbo,1.0263529464360686,0.785002642647598,0.01165252282050293,Baseline (03)
phi4_multimodal,,,,Bigger (this nb)
qwen25_omni,,,,Bigger (this nb)
qwen2_audio_direct,1.0837022498597626,0.9327082661307553,0.00027684676631720525,Bigger (this nb)
qwen2_audio_via_english,1.0039101211169295,0.9213723179376819,0.00010159962233796411,Bigger (this nb)
qwen3_asr,1.1339416325127045,0.896212879496163,0.0030616710414826487,Bigger (this nb)
voxtral_mini,1.3627344245291646,0.9721898391827478,0.06262034337300693,Bigger (this nb)
