model,dialect,filename,transcript_preview,wer,cer,mer,wil,wip,bleu
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip001.wav,পস্কার পুরানঢাকা এমন কোনোভাগের আচ্ছে।,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip002.wav,আমি বাবু চিদদার কইছি আমার কতা হুমগুনা হসুওযায়,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip003.wav,,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip004.wav,সোনেআপনি যদি আরামার পিছিবিছে আসছেন আপনির খবর আসে বলেদিলাম।,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip005.wav,একনকি বাড়ি ফেরন সময় রাতকটাবজে,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip006.wav,কয়টাবজে এখন কি সুমায আেলো গলারবরা,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip007.wav,খাবার খাড় দায়ায় ামুন কুদনাইকককা ে ুবার্জল লওইছে আমারবাড়ি পডিপুর ঢাকায় ভসাকর,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip008.wav,অরমাইকেটায় রময় আমি অয় কথা গুপ মাদালল্াঙগুরজে য়কি ফাদার্লেঙ্গজোক থাুব ফরিদপুর,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip009.wav,আহম আাইবারাহ বুছি অদঃপদনে কেন যাচ্ছে বুঝছিল ব  এ গমসা দিয়ে যা।,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip010.wav,এজাজরাই,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip011.wav,,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip012.wav,,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip013.wav,ইঅকা,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip014.wav,,,,,,,
wav2vec2_xlsr_300m_bn,puran_dhaka,pd_001_male_40s_clip015.wav,ু,,,,,,
